ID,Constraint type,Instructors,Slots,Courses,Week,Rooms,Group,Days,Departement,Module
16927,Problème de dépendance,JD,TD_w_s5_15h45 TD_f_s5_9h30,TD-CDAM-JD-2 (44881) TD-CDAM-JD-2 (44882),5,,2,Mercredi Vendredi,,CDAM,
16929,Problème de dépendance,JD,TD_w_s5_15h45 TD_m_s5_9h30,TD-CDAM-JD-2 (44881) TD-CDAM-JD-2 (44882),5,,2,Mercredi Lundi,,CDAM,
16930,Problème de dépendance,JD,TD_w_s5_15h45 TD_tu_s5_9h30,TD-CDAM-JD-2 (44881) TD-CDAM-JD-2 (44882),5,,2,Mercredi Mardi,,CDAM,
16935,Problème de dépendance,JD,TD_w_s5_15h45 TD_f_s5_15h45,TD-CDAM-JD-2 (44881) TD-CDAM-JD-2 (44882),5,,2,Mercredi Vendredi,,CDAM,
16937,Problème de dépendance,JD,TD_w_s5_15h45 TD_f_s5_8h,TD-CDAM-JD-2 (44881) TD-CDAM-JD-2 (44882),5,,2,Mercredi Vendredi,,CDAM,
16939,Problème de dépendance,JD,TD_w_s5_15h45 TD_tu_s5_17h15,TD-CDAM-JD-2 (44881) TD-CDAM-JD-2 (44882),5,,2,Mercredi Mardi,,CDAM,
16941,Problème de dépendance,JD,TD_w_s5_15h45 TD_th_s5_14h15,TD-CDAM-JD-2 (44881) TD-CDAM-JD-2 (44882),5,,2,Mercredi Jeudi,,CDAM,
16948,Problème de dépendance,JD,TD_f_s5_9h30 TD_th_s5_8h,TD-CDAM-JD-2 (44881) TD-CDAM-JD-2 (44882),5,,2,Vendredi Jeudi,,CDAM,
16949,Problème de dépendance,JD,TD_f_s5_9h30 TD_f_s5_17h15,TD-CDAM-JD-2 (44881) TD-CDAM-JD-2 (44882),5,,2,Vendredi,,CDAM,
16987,Problème de dépendance,JD,TD_th_s5_9h30 TD_tu_s5_9h30,TD-CDAM-JD-2 (44881) TD-CDAM-JD-2 (44882),5,,2,Jeudi Mardi,,CDAM,
16990,Problème de dépendance,JD,TD_th_s5_9h30 TD_m_s5_14h15,TD-CDAM-JD-2 (44881) TD-CDAM-JD-2 (44882),5,,2,Jeudi Lundi,,CDAM,
16995,Problème de dépendance,JD,TD_th_s5_9h30 TD_m_s5_17h15,TD-CDAM-JD-2 (44881) TD-CDAM-JD-2 (44882),5,,2,Jeudi Lundi,,CDAM,
16996,Problème de dépendance,JD,TD_th_s5_9h30 TD_tu_s5_17h15,TD-CDAM-JD-2 (44881) TD-CDAM-JD-2 (44882),5,,2,Jeudi Mardi,,CDAM,
16998,Problème de dépendance,JD,TD_th_s5_9h30 TD_w_s5_11h,TD-CDAM-JD-2 (44881) TD-CDAM-JD-2 (44882),5,,2,Jeudi Mercredi,,CDAM,
17000,Problème de dépendance,JD,TD_th_s5_9h30 TD_w_s5_8h,TD-CDAM-JD-2 (44881) TD-CDAM-JD-2 (44882),5,,2,Jeudi Mercredi,,CDAM,
17007,Problème de dépendance,JD,TD_m_s5_9h30 TD_f_s5_17h15,TD-CDAM-JD-2 (44881) TD-CDAM-JD-2 (44882),5,,2,Lundi Vendredi,,CDAM,
17008,Problème de dépendance,JD,TD_m_s5_9h30 TD_th_s5_17h15,TD-CDAM-JD-2 (44881) TD-CDAM-JD-2 (44882),5,,2,Lundi Jeudi,,CDAM,
17015,Problème de dépendance,JD,TD_m_s5_9h30 TD_th_s5_9h30,TD-CDAM-JD-2 (44881) TD-CDAM-JD-2 (44882),5,,2,Lundi Jeudi,,CDAM,
17017,Problème de dépendance,JD,TD_m_s5_9h30 TD_tu_s5_9h30,TD-CDAM-JD-2 (44881) TD-CDAM-JD-2 (44882),5,,2,Lundi Mardi,,CDAM,
17018,Problème de dépendance,JD,TD_m_s5_9h30 TD_w_s5_9h30,TD-CDAM-JD-2 (44881) TD-CDAM-JD-2 (44882),5,,2,Lundi Mercredi,,CDAM,
