(16860) La contrainte de type "Problème de dépendance" ; pour le professeur JD ; pour les cours [TD-CDAM-JD-2 (44881), TD-CDAM-JD-2 (44882)] ; pour les slots [TD_m_s5_8h, TD_w_s5_14h15] ; pour la semaine 5 ; pour le groupe 2 ; pour les jours [Lundi, Mercredi] ; pour le module CDAM ; doit être respectée.
(16864) La contrainte de type "Problème de dépendance" ; pour le professeur JD ; pour les cours [TD-CDAM-JD-2 (44881), TD-CDAM-JD-2 (44882)] ; pour les slots [TD_m_s5_8h, TD_m_s5_8h] ; pour la semaine 5 ; pour le groupe 2 ; pour le jour Lundi ; pour le module CDAM ; doit être respectée.
(16870) La contrainte de type "Problème de dépendance" ; pour le professeur JD ; pour les cours [TD-CDAM-JD-2 (44881), TD-CDAM-JD-2 (44882)] ; pour les slots [TD_m_s5_8h, TD_th_s5_15h45] ; pour la semaine 5 ; pour le groupe 2 ; pour les jours [Lundi, Jeudi] ; pour le module CDAM ; doit être respectée.
(16873) La contrainte de type "Problème de dépendance" ; pour le professeur JD ; pour les cours [TD-CDAM-JD-2 (44881), TD-CDAM-JD-2 (44882)] ; pour les slots [TD_m_s5_8h, TD_tu_s5_9h30] ; pour la semaine 5 ; pour le groupe 2 ; pour les jours [Lundi, Mardi] ; pour le module CDAM ; doit être respectée.
(16875) La contrainte de type "Problème de dépendance" ; pour le professeur JD ; pour les cours [TD-CDAM-JD-2 (44881), TD-CDAM-JD-2 (44882)] ; pour les slots [TD_m_s5_8h, TD_m_s5_17h15] ; pour la semaine 5 ; pour le groupe 2 ; pour le jour Lundi ; pour le module CDAM ; doit être respectée.
(16876) La contrainte de type "Problème de dépendance" ; pour le professeur JD ; pour les cours [TD-CDAM-JD-2 (44881), TD-CDAM-JD-2 (44882)] ; pour les slots [TD_m_s5_8h, TD_th_s5_8h] ; pour la semaine 5 ; pour le groupe 2 ; pour les jours [Lundi, Jeudi] ; pour le module CDAM ; doit être respectée.
(16883) La contrainte de type "Problème de dépendance" ; pour le professeur JD ; pour les cours [TD-CDAM-JD-2 (44881), TD-CDAM-JD-2 (44882)] ; pour les slots [TD_m_s5_8h, TD_f_s5_14h15] ; pour la semaine 5 ; pour le groupe 2 ; pour les jours [Lundi, Vendredi] ; pour le module CDAM ; doit être respectée.
(16884) La contrainte de type "Problème de dépendance" ; pour le professeur JD ; pour les cours [TD-CDAM-JD-2 (44881), TD-CDAM-JD-2 (44882)] ; pour les slots [TD_m_s5_8h, TD_f_s5_8h] ; pour la semaine 5 ; pour le groupe 2 ; pour les jours [Lundi, Vendredi] ; pour le module CDAM ; doit être respectée.
(16888) La contrainte de type "Problème de dépendance" ; pour le professeur JD ; pour les cours [TD-CDAM-JD-2 (44881), TD-CDAM-JD-2 (44882)] ; pour les slots [TD_m_s5_8h, TD_tu_s5_15h45] ; pour la semaine 5 ; pour le groupe 2 ; pour les jours [Lundi, Mardi] ; pour le module CDAM ; doit être respectée.
(17007) La contrainte de type "Problème de dépendance" ; pour le professeur JD ; pour les cours [TD-CDAM-JD-2 (44881), TD-CDAM-JD-2 (44882)] ; pour les slots [TD_w_s5_8h, TD_w_s5_14h15] ; pour la semaine 5 ; pour le groupe 2 ; pour le jour Mercredi ; pour le module CDAM ; doit être respectée.
(17012) La contrainte de type "Problème de dépendance" ; pour le professeur JD ; pour les cours [TD-CDAM-JD-2 (44881), TD-CDAM-JD-2 (44882)] ; pour les slots [TD_w_s5_8h, TD_m_s5_8h] ; pour la semaine 5 ; pour le groupe 2 ; pour les jours [Mercredi, Lundi] ; pour le module CDAM ; doit être respectée.
(17018) La contrainte de type "Problème de dépendance" ; pour le professeur JD ; pour les cours [TD-CDAM-JD-2 (44881), TD-CDAM-JD-2 (44882)] ; pour les slots [TD_w_s5_8h, TD_th_s5_15h45] ; pour la semaine 5 ; pour le groupe 2 ; pour les jours [Mercredi, Jeudi] ; pour le module CDAM ; doit être respectée.
