ID,Constraint type,Instructors,Slots,Courses,Week,Rooms,Group,Days,Departement,Module
26560,Problème de dépendance,MB ,TD_f_s17_11h  TD_m_s17_8h ,TD-AMN-MB-3 (44199)  TD-AMN-MB-3 (44200) ,17 ,,3 ,Vendredi  Lundi ,,AMN ,
26561,Problème de dépendance,MB ,TD_f_s17_11h  TD_w_s17_11h ,TD-AMN-MB-3 (44199)  TD-AMN-MB-3 (44200) ,17 ,,3 ,Vendredi  Mercredi ,,AMN ,
26574,Problème de dépendance,MB ,TD_f_s17_11h  TD_m_s17_15h45 ,TD-AMN-MB-3 (44199)  TD-AMN-MB-3 (44200) ,17 ,,3 ,Vendredi  Lundi ,,AMN ,
26576,Problème de dépendance,MB ,TD_f_s17_11h  TD_tu_s17_9h30 ,TD-AMN-MB-3 (44199)  TD-AMN-MB-3 (44200) ,17 ,,3 ,Vendredi  Mardi ,,AMN ,
26577,Problème de dépendance,MB ,TD_f_s17_11h  TD_m_s17_17h15 ,TD-AMN-MB-3 (44199)  TD-AMN-MB-3 (44200) ,17 ,,3 ,Vendredi  Lundi ,,AMN ,
26578,Problème de dépendance,MB ,TD_th_s17_14h15  TD_th_s17_11h ,TD-AMN-MB-3 (44199)  TD-AMN-MB-3 (44200) ,17 ,,3 ,Jeudi ,,AMN ,
26686,Problème de dépendance,MB ,TD_w_s17_8h  TD_w_s17_17h15 ,TD-AMN-MB-3 (44199)  TD-AMN-MB-3 (44200) ,17 ,,3 ,Mercredi ,,AMN ,
26687,Problème de dépendance,MB ,TD_w_s17_8h  TD_m_s17_14h15 ,TD-AMN-MB-3 (44199)  TD-AMN-MB-3 (44200) ,17 ,,3 ,Mercredi  Lundi ,,AMN ,
26703,Problème de dépendance,MB ,TD_f_s17_9h30  TD_tu_s17_8h ,TD-AMN-MB-3 (44199)  TD-AMN-MB-3 (44200) ,17 ,,3 ,Vendredi  Mardi ,,AMN ,
26705,Problème de dépendance,MB ,TD_f_s17_9h30  TD_f_s17_14h15 ,TD-AMN-MB-3 (44199)  TD-AMN-MB-3 (44200) ,17 ,,3 ,Vendredi ,,AMN ,
26706,Problème de dépendance,MB ,TD_f_s17_9h30  TD_w_s17_8h ,TD-AMN-MB-3 (44199)  TD-AMN-MB-3 (44200) ,17 ,,3 ,Vendredi  Mercredi ,,AMN ,
26708,Problème de dépendance,MB ,TD_f_s17_9h30  TD_th_s17_17h15 ,TD-AMN-MB-3 (44199)  TD-AMN-MB-3 (44200) ,17 ,,3 ,Vendredi  Jeudi ,,AMN ,
26872,Problème de dépendance,MB ,TD_th_s17_15h45  TD_tu_s17_15h45 ,TD-AMN-MB-3 (44199)  TD-AMN-MB-3 (44200) ,17 ,,3 ,Jeudi  Mardi ,,AMN ,
